"KEY","CODE","DESCRIPTION","TEXT","TITLE",
"externalSpatialStructureElement","IfcExternalSpatialStructureElement","The external spatial structure element is an abstract entity provided for different kind of external spaces, regions, and volumes.HISTORY  New entity in IFC4.","external spatial structure element","IfcExternalSpatialStructureElement",
"externalSpatialElement","IfcExternalSpatialElement","The external spatial element defines external regions at the building site. Those regions can be defined:logically - for example, an instance of IfcExternalSpatialElement could represent the air space around the building without having an own shape representation, or
physically - for example, an instance of IfcExternalSpatialElement could represent the sloping ground around the building to identify the part of the external building envelop that is below ground.HISTORY  New entity in IFC4.","external spatial element","IfcExternalSpatialElement",
"facilityPartCommon","IfcFacilityPartCommon","A part of a facility.","facility part common","IfcFacilityPartCommon",
"featureElement","IfcFeatureElement","A feature element is a generalization of all existence dependent elements which modify the shape and appearance of the associated master element. The IfcFeatureElement offers the ability to handle shape modifiers as semantic objects within the IFC object model.NOTE  The term ""feature"" has a predefined meaning in a context of ""feature-based modeling"" and within steel construction work. It is introduced here in a broader sense to cover all existence dependent, but semantically described, modifiers of an element's shape and appearance. It is envisioned that future releases enhance the feature-based capabilities of the IFC model.In contrary to the aggregation, as used in IfcElementAssembly, that defines the aggregate as a container element, that has equally treated parts, the feature concept introduced by IfcFeatureElement defines the master element with subordinate parts as additions, or with voids or cut-outs as subtractions.HISTORY  New entity in IFC2x2.","feature element","IfcFeatureElement",
"featureElementAddition","IfcFeatureElementAddition","A feature element addition is a specialization of the general feature element, that represents an existence dependent element which modifies the shape and appearance of the associated master element. The IfcFeatureElementAddition offers the ability to handle shape modifiers as semantic objects within the IFC object model that add to the shape of the master element.The IfcFeatureElementAddition is associated to its master element by virtue of the objectified relationship IfcRelProjectsElement. This relationship implies a Boolean 'union' operation between the shape of the master element and the shape of the addition feature.The local placement for IfcFeatureElementAddition is defined in its supertype IfcProduct. It is defined by the IfcLocalPlacement, which defines the local coordinate system that is referenced by all geometric representations. The local placement is always defined in relation to the local placement of the element to which the feature element is added:The PlacementRelTo attribute of IfcObjectPlacement shall point (if given) to the object placement of the IfcElement, which is used in the ProjectsElements.RelatingElement inverse attribute (the parent element of the feature).HISTORY  New entity in IFC2x2.","feature element addition","IfcFeatureElementAddition",
"featureElementSubTraction","IfcFeatureElementSubtraction","The IfcFeatureElementSubtraction is specialization of the general feature element, that represents an existence dependent elements which modifies the shape and appearance of the associated master element. The IfcFeatureElementSubtraction offers the ability to handle shape modifiers as semantic objects within the IFC object model that subtract from the shape of the master element.NOTE  A single subtraction feature such as the subtype IfcOpeningElement is assigned by a single subtraction relationship IfcRelVoidsElement to one occurrences of IfcElement. It establishes a 1:1 relationship between the opening and the element. An element may have several IfcRelVoidsElement relationships, enabling several voids.The voiding relationship between a master element and a subtraction feature is geometrically resolved by a Boolean difference operation.The local placement for IfcFeatureElementSubtraction is defined in its supertype IfcProduct. It is defined by the IfcLocalPlacement, which defines the local coordinate system that is referenced by all geometric representations. The local placement is always defined in relation to the local placement of the building element from which the feature element substration is substracted:The PlacementRelTo attribute of IfcObjectPlacement shall point (if given) to the object placement of the IfcElement, which is used in the VoidsElements.RelatingElement inverse attribute (the parent element of the feature).HISTORY  New entity in IFC2x2.","feature element sub traction","IfcFeatureElementSubtraction",
"furnishingElement","IfcFurnishingElement","A furnishing element is a generalization of all furniture related objects. Furnishing objects are characterized as beingpre-manufactured and assembled on-site, or
manufactured on-site (built-in)Thus furnishing elements can either be movable, or not (as the built-ins).HISTORY  New entity in IFC2x.","furnishing element","IfcFurnishingElement",
"geographicElement","IfcGeographicElement","An IfcGeographicElement is a generalization of all elements within a geographical landscape. It includes occurrences of typical geographical elements, often referred to as features, such as trees or terrain. Common type information behind several occurrences of IfcGeographicElement is provided by the IfcGeographicElementType.HISTORY New entity in IFC4.","geographic element","IfcGeographicElement",
"virtualElement","IfcVirtualElement","A virtual element is a special element used to provide imaginary, placeholder, or provisional areas, volumes, and boundaries. Virtual elements are usually not displayed and do not have quantities, associated materials, and other measures.Uses of IfcVirtualElement include:An imaginary boundary such as between two adjacent, but not separated, spaces. The IfcVirtualElement may provide the 2D curve or 3D surface representation of the virtual space connection and is referenced by two instances of IfcRelSpaceBoundary, each pointing to one of the two adjacent IfcSpaces. The boundary is exhanged using PredefinedType = BOUNDARY.
A provision for voids. Such as where a particular volume of space is requested by an engineering function that might later be accepted or rejected. If accepted it is transformed into a void within a building element, like a wall opening, or a slab opening. The provision for voids is exchanged using the PredefinedType = PROVISIONFORVOID. Typically this shall use a swept solid geometry, where the profile of the swept solid lies on/near the surface of the referred building element and the extrusion depths is equal to or bigger then (in case of round or otherwise irregular element shape) the thickness of the building element. The appropriate property set Pset_ProvisionForVoid should be attached.
A clearance space. Typically a placeholder for the necessary space allocation for future designed elements, such as mechanical equipment that will be determined in a later design phase. The clearance is exchanged using the PredefinedType = CLEARANCE.Figure 1 describes how to use IfcRelSpaceBoundary in conjunction with IfcVirtualElement to define space boundaries.Figure 1 — Virtual element used as space boundariesIFC4.3.0.0 CHANGE Virtual elements can now be used for void provisions and clearance to replace existing functionality on IfcBuildingElementProxy.
IFC2x2 CHANGE  The entity IfcVirtualElement has been added. Upward compatibility for file based exchange is guaranteed.
HISTORY  New entity in IFC2x2 Addendum.","virtual element","IfcVirtualElement",
"zone","IfcZone","A zone is a group of spaces, partial spaces or other zones. These spaces may or may not be adjacent. A zone does not have its own shape representation. Zone structures may not be hierarchical (in contrary to the spatial structure of a project - see IfcSpatialStructureElement), i.e. one individual IfcSpace may be associated with zero, one, or several IfcZone's. IfcSpace's are grouped into an IfcZone by using the objectified relationship IfcRelAssignsToGroup as specified at the supertype IfcGroup. For example, a zone might be used to represent an apartment as a group of spaces.NOTE  Certain use cases may restrict the freedom of non hierarchical relationships. In some building service use cases the zone denotes a view based delimited volume for the purpose of analysis and calculation. This type of zone cannot overlap with respect to that analysis, but may overlap otherwise.
HISTORY  New entity in IFC1.0","zone","IfcZone",
"profileDef","IfcProfileDef","IfcProfileDef is the supertype of all definitions of standard and arbitrary profiles within IFC. It is used to define a standard set of commonly used section profiles by their parameters or by their explicit curve geometry.Parameterized profiles are 2D primitives, which are used within the industry to describe cross sections by a description of its parameters.
Arbitrary profiles are cross sections defined by an outer boundary as bounded curve, which may also include holes, defined by inner boundaries.
Derived profiles, based on a transformation of a parent profile, are also part of the profile definitions available.
In addition composite profiles can be defined, which include two or more profile definitions to define the resulting profile.HISTORY  New entity in IFC1.5, the capabilities have been extended in IFC2x. Profiles can now support swept surfaces and swept area solids with inner boundaries. It had been renamed from IfcAttDrivenProfileDef.","profile def","IfcProfileDef",
"arbitraryClosedProfileDef","IfcArbitraryClosedProfileDef","The closed profile IfcArbitraryClosedProfileDef defines an arbitrary two-dimensional profile for the use within the swept surface geometry, the swept area solid or a sectioned spine. It is given by an outer boundary from which the surface or solid can be constructed.HISTORY  New entity in IFC1.5. Entity has been renamed from IfcArbitraryProfileDef in IFC2x.{ .spec-head}
Informal Propositions:The OuterCurve has to be a closed curve.
The OuterCurve shall not intersect.Figure 1 illustrates the arbitrary closed profile definition. The OuterCurve is defined in the underlying coordinate system. The underlying coordinate system is defined by the swept surface or swept area solid that uses the profile definition. It is the xy plane of either:IfcSweptSurface.Position
IfcSweptAreaSolid.Positionor in case of sectioned spines the xy plane of each list member of IfcSectionedSpine.CrossSectionPositions. The OuterCurve attribute defines a two dimensional closed bounded curve.","arbitrary closed profile def","IfcArbitraryClosedProfileDef",
"arbitraryProfileDefWithVoids","IfcArbitraryProfileDefWithVoids","The IfcArbitraryProfileDefWithVoids defines an arbitrary closed two-dimensional profile with holes. It is given by an outer boundary and inner boundaries. A common usage of IfcArbitraryProfileDefWithVoids is as the cross section for the creation of swept surfaces or swept solids.HISTORY  New entity in IFC2x.{ .spec-head}
Informal Propositions:The outer curve and all inner curves shall be closed curves.
The outer curve shall enclose all inner curves.
No inner curve shall intersect with the outer curve or any other inner curve. That is, no two curves of the profile definition shall have a point or segment in common, taken into account the geometric precision factor of the geometric representation context. In other words, curves must neither cross nor touch each other.
No inner curve may enclose another inner curve.Figure 1 illustrates the arbitrary closed profile definition with voids. The OuterCurve, defined at the supertype IfcArbitraryClosedProfileDef and the inner curves are defined in the same underlying coordinate system. The common underlying coordinate system is defined by the swept area solid that uses the profile definition. It is the xy plane of:IfcSweptAreaSolid.Positionor in case of sectioned spines the xy plane of each list member of IfcSectionedSpine.CrossSectionPositions. The OuterCurve attribute defines a two dimensional closed bounded curve, the InnerCurves define a set of two dimensional closed bounded curves.","arbitrary profile def with voids","IfcArbitraryProfileDefWithVoids",
"rail","IfcRail","A rail is a predominately linear built element that has a special section profile. Rail is distinctive from built elements with similar geometric shapes (e.g. beam, member) that its major function is to ensure guidance of moving for vehicles or other kinds of machineries.","rail","IfcRail",
"railway","IfcRailway","An IfcRailway is a spatial structure element as a route from one location to another for guided passage of wheeled vehicles on rails. An IfcRailway acts as a basic spatial structure element that supports to break down a railway project into manageable parts.
Note: Definition according to ISO 6706: 2017: national or regional transport system for guided passage of wheeled vehicles on rails.","railway","IfcRailway",
"railwayPart","IfcRailwayPart","Part of a railway.","railway part","IfcRailwayPart",
"trackElement","IfcTrackElement","A track element is a built element used specifically in the track domain in railway.","track element","IfcTrackElement",
"kerb","IfcKerb","A border of stone, concrete or other rigid material formed at the edge of the carriageway or footway.NOTE  Definition from ISO 6707-1: border, usually upstanding, at the edge of a carriageway, hard strip, hard shoulder, or footway, (Curb, US).
NOTE  Definition from PIARC: Unit intended to separate surfacings of different surfaces and to provide physical delineation or containment [CEN].","kerb","IfcKerb",
"road","IfcRoad","A route built on land to allow travel from one location to another, including highways, streets, cycle and foot paths, but excluding railways. As a type of Facility, Road provides the basic element in the project structure hierarchy for the components of a road project (i.e. any undertaking such as design, construction or maintenance).NOTE  Definition from ISO 6707-1: Way mainly for vehicles.
NOTE  Definition from PIARC: Line of communication (travelled way) using a stabilized base other than rails or air strips, primarily for the use of road motor vehicles running on their own wheel.","road","IfcRoad",
"roadPart","IfcRoadPart","Part of a road.","road part","IfcRoadPart",
"beam","IfcBeam","An IfcBeam is typically a horizontal, or nearly horizontal, structural member that is capable of withstanding load primarily by resisting bending. It may also represent such a member from an architectural point of view. It is not required to be load bearing.There are two main representations for beam occurrences:IfcBeam with IfcMaterialProfileSetUsage is used for all occurrences of beams, that have a profile defined that is swept along a directrix. The profile might change uniformly by a taper definition along the directrix. The profile parameter and its cardinal point of insertion can be fully described by the IfcMaterialProfileSetUsage. These beams are always represented geometricly by an 'Axis' and a 'SweptSolid' or 'AdvancedSweptSolid' shape representation (or by a 'Clipping' geometry based on the swept solid), if a 3D geometric representation is assigned.
IfcBeam without IfcMaterialProfileSetUsage is used for all other occurrences of beams, particularly for beams with non-uniformly changing profile sizes along the sweep, or beams having only 'AdvancedBrep', 'Brep', or 'SurfaceModel' geometry, if a more parametric representation is not intended.For any other longitudinal structural member, not constrained to be predominately horizontal nor vertical, or where this semantic information is irrelevant, the entity IfcMember should be used.REFERENCE  Definition according to ISO 6707-1: structural member for carrying load(s) between or beyond points of support, usually narrow in relation to its length and horizontal or nearly so.
NOTE  The entity IfcBeamStandardCase has been deleted, IfcBeam with IfcMaterialProfileSetUsage is used instead.
NOTE  The representation of load-bearing beams in a structural analysis model is provided by subtypes of IfcStructuralMember (with IfcStructuralCurveMember being mostly applicable) as part of an IfcStructuralAnalysisModel. The camber of a beam may be defined by assigning an IfcStructuralCurveMember with displacement coordinates. Multiple sets of camber ordinates may be provided that are qualified by the particular load case, where full dead load would typically be used for fabrication, and other scenarios used for other loading conditions such as during construction.
HISTORY  New entity in IFC1.0","beam","IfcBeam",
"bearing","IfcBearing","Type of building element that is usually used to transmit loads from superstructure to substructure, and usually allowing movement (displacement or rotation) in one or more degrees of freedom. It is typically a mechanical component procured as a whole and installed on site, but in simple cases it may be built on site (composed of other building elements, element components, etc.).NOTE  The sliding and roller materials are to be assigned to the bearing with the Material Constituent Set concept.
NOTE  The displacements and rotations accommodated can be defined in the Pset_BearingCommon property set.","bearing","IfcBearing",
"buildingElementProxy","IfcBuildingElementProxy","The IfcBuildingElementProxy is a proxy definition that provides the same functionality as subtypes of IfcBuildingElement, but without having a predefined meaning of the special type of building element it represents.IfcBuildingElementProxy may be used:To exchange special types of building elements for which the current specification does not yet provide a semantic definition.
To represent building elements for which the participating applications can not provide a semantic definition.IFC4.3.0.0 CHANGE IfcBuildingElementProxy should no longer be used as spatial placeholders or provisions. Use IfcVirtualElement instead.
HISTORY  New entity in IFC2x.","building element proxy","IfcBuildingElementProxy",
"buildingSystem","IfcBuildingSystem","A building system is a group by which building elements are grouped according to a common function within the facility.The group IfcBuildingSystem defines the occurrence of a specialized system for use within the context of a building and finishing fabric. Important functionalities for the description of a building system are derived from supertypes:From IfcSystem it inherits the ability to couple the building system via IfcRelServicesBuildings to one or more IfcSpatialElement subtypes as necessary.
From IfcGroup it inherits the inverse attribute IsGroupedBy, pointing to the relationship class IfcRelAssignsToGroup. This allows to group building elements (instances of IfcBuildingElement subtypes, IfcFurnishingElement subtype, IfcElementAssembly and IfcTransportElement).
From IfcObjectDefinition it inherits the inverse attribute IsDecomposedBy pointing to the relationship class IfcRelAggregates. It provides the hierarchy between the separate (partial) building systems.HISTORY  New entity in IFC4.
IFC4.3.0.0 DEPRECATION Use IfcBuiltSystem instead.","building system","IfcBuildingSystem",
"grid","IfcGrid","IfcGrid ia a planar design grid defined in 3D space used as an aid in locating structural and design elements. The position of the grid (ObjectPlacement) is defined by a 3D coordinate system (and thereby the design grid can be used in plan, section or in any position relative to the world coordinate system). The position can be relative to the object placement of other products or grids. The XY plane of the 3D coordinate system is used to place the grid axes, which are 2D curves (for example, line, circle, arc, polyline).The inherited attributes Name and Description can be used to define a descriptive name of the grid and to indicate the grid's purpose. A grid is defined by (normally) two, or (in case of a triangular grid) three lists of grid axes. The following figures/ shows some examples.A grid may support a rectangular layout as shown in Figure 1, a radial layout as shown in Figure 2, or a triangular layout as shown in Figure 3.NOTE  The PredefinedType denotes the type of grid that is represented by IfcGrid. The instantiation of IfcGridAxis's has to agree to the PredefinedType, if provided.
NOTE  The grid axes, defined within the design grid, are those elements to which project objects will be placed relatively using the IfcGridPlacement.Figure 1 — Grid rectangular layoutFigure 2 — Grid radial layoutFigure 3 — Grid triangular layoutHISTORY  New entity in IFC1.0.","grid","IfcGrid",
"impactProtectionDevice","IfcImpactProtectionDevice","A impact protection device is a component used to protect other built elements from kinetic damage. impact protection devices currently come in different varieties:
- A vibration damper used to minimize the effects of vibration in a structure by dissipating kinetic energy. The damper may be passive (elastic, frictional, inertia) or active (in a system using sensors and actuators).
- A vibration isolator is a device used to minimize the effects of vibration transmissibility in a structure.
- Impact devices that dissipate kinetic energy from impacting elements (such as vehicles) by deformation or elastic mechanics.","impact protection device","IfcImpactProtectionDevice",
"openingElement","IfcOpeningElement","The opening element stands for opening, recess or chase, all reflecting voids. It represents a void within any element that has physical manifestation. Openings can be inserted into walls, slabs, beams, columns, or other elements.There are two different types of opening elements. The attribute PredefinedType should be used to capture the differences:an opening, where the thickness of the opening is greater or equal to the thickness of the element —
  the attribute PredefinedType is set to OPENING
a recess or niche, where the thickness of the recess is smaller than the thickness of the element  —
  the attribute  PredefinedType is set to RECESS for a recess or niche.If the value for PredefinedType is omitted, or the value is set to NOTDEFINED, no specific information of whether it is an opening or recess shall be assumed.An IfcOpeningElement has to be inserted into an IfcElement by using the IfcRelVoidsElement relationship. It may be filled by an IfcDoor, IfcWindow, or another filling element by using the relationship IfcRelFillsElements. Depending on the type of the IfcShapeRepresentation of the IfcOpeningElement the voiding relationship implies:if the IfcShapeRepresentation.RepresentationIdentifier = 'Body', then the Body shape representation of the opening has to be subtracted from the body shape representation of the voided element - implicit Boolean difference operation.
if the IfcShapeRepresentation.RepresentationIdentifier = 'Reference', then the Reference shape representation of the opening is not subtracted, it is provided in addition to the hole in the Body shape representation of the voided element.The IfcOpeningElement shall not participate in the containment relationship, i.e. it is not linked directly to the spatial structure of the project. It has a mandatory VoidsElements inverse relationship pointing to the IfcElement that is contained in the spatial structure. The inverse relationship ContainedInStructure shall be NIL.REFERENCE Definition according to ISO 6707-1: void in a building element
NOTE  The entity IfcOpeningStandardCase has been deleted. Use an IfcOpeningElement with a single extrusion body perpendicular to the wall or slab instead.
NOTE  See IfcRelVoidsElement for a diagram on how to apply spatial containment and the voiding relationship.
IFC2x CHANGE  The intermediate ABSTRACT supertypes IfcFeatureElement and IfcFeatureSubtraction have been added.
IFC4 CHANGE  The attribute PredefinedType has been added at the end of attribute list. 
HISTORY  New entity in IFC1.0","opening element","IfcOpeningElement",
"port","IfcPort","A port provides the means for an element to connect to other elements.An IfcPort is associated with an IfcElement, it belongs to through the objectified relationship IfcRelNests if such port is fixed, or IfcRelConnectsPortToElement if such port is dynamically attached. Exactly two ports, belonging to two different elements, are connected with each other through the objectified relationship IfcRelConnectsPorts.An instance of IfcElement may have one or more points at which it connects to other instances of IfcElement. An instance of em>IfcPort is located at a point where a connection can occur. The location of the port is determined in the context of the local coordinate system of the element to which it belongs. As a subordinate part being fully dependent on the master element the IfcPort shall have no independent containment relationship to the spatial structure.The local placement for IfcPort is defined in its supertype IfcProduct. It is defined by the IfcLocalPlacement, which defines the local coordinate system that is referenced by all geometric representations. The PlacementRelTo relationship of IfcLocalPlacement shall point to the local placement of the master IfcElement or IfcElementType (relevant subtypes), which is related to the IfcPort by the relationship object IfcRelNests for fixed ports, or IfcRelConnectsPortToElement for dynamic ports.HISTORY  New entity in IFC2x2.","port","IfcPort",
"projectionElement","IfcProjectionElement","The projection element is a specialization of the general feature element to represent projections applied to building elements. It represents a solid attached to any element that has physical manifestation.EXAMPLE  A wall projection such as a pilaster strip is handled by IfcProjectionElement
NOTE  View definitions or implementer agreements may restrict the types of elements to which IfcProjectionElement can be applied.An IfcProjectionElement has to be linked to a element (all subtypes of IfcElement) by using the IfcRelProjectsElement relationship. Its existence depends on the existence of the master element. The relationship implies a Boolean union operation between the volume of the projection element and the volume of the element.The IfcProjectionElement shall not participate in the containment relationship, i.e. it is not linked directly to the spatial structure of the project. It has a mandatory ProjectsElements inverse relationship pointing to the IfcElement that is contained in the spatial structure.The inverse relationship ContainedInStructure shall be NIL.HISTORY  New entity in IFC2x2.","projection element","IfcProjectionElement",
"referent","IfcReferent","IfcReferent defines a position at a particular offset along an alignment curve.Referents may be used for several scenarios:positioning physical elements at common locations along an alignment curve (e.g. bridge piers)
indicating transitions for cross-sections (e.g. beginning of curvature where road is relatively flat, maximum curvature having super-elevated cross-slope to accommodate design speed)
indicating broken chainage where distance measurements reset or reverse directions
indicating domain-specific design parameters (via property sets) at locations along an alignment curve","referent","IfcReferent",
"site","IfcSite","A site is a defined area of land, possibly covered with water, on which the project construction is to be completed. A site may be used to erect, retrofit or turn down building(s), or for other construction related developments.NOTE  Definition according to ISO 6707-1: area of land or water where construction work or other development is undertaken.A site may include a definition of the single geographic reference point for this site (global position using WGS84 with Longitude, Latitude and Elevation). The precision is provided up to millionth of a second and it provides an absolute placement in relation to the real world as used in exchange with geospational information systems. If asserted, the Longitude, Latitude and Elevation establish the point in WGS84 where the point 0.,0.,0. of the LocalPlacement of IfcSite is situated.The geometrical placement of the site, defined by the IfcLocalPlacement, shall be always relative to the spatial structure element, in which this site is included, or absolute, i.e. to the world coordinate system, as established by the geometric representation context of the project. The world coordinate system, established at the IfcProject.RepresentationContexts, may include a definition of the true north within the XY plane of the world coordinate system, if provided, it can be obtained at IfcGeometricRepresentationContext.TrueNorth.A project may span over several connected or disconnected sites. Therefore site complex provides for a collection of sites included in a project. A site can also be decomposed in parts, where each part defines a site section. This is defined by the composition type attribute of the supertype IfcSpatialStructureElements which is interpreted as follow:COMPLEX = site complex
ELEMENT = site
PARTIAL = site sectionThe IfcSite is used to build the spatial structure of a building (that serves as the primary project breakdown and is required to be hierarchical).Figure 1 shows the IfcSite as part of the spatial structure. In addition to the logical spatial structure, also the placement hierarchy is shown. In this example the spatial structure hierarchy and the placement hierarchy are identical.NOTE  Detailed requirements on mandatory element containment and placement structure relationships are given in view definitions and implementer agreements.Figure 2 describes the heights and elevations of the IfcSite. It is used to provide the geographic longitude, latitude, and height above sea level for the origin of the site. The origin of the site is the local placement.The provision of longitude, latitude, height at the IfcSite for georeferencing is provided for upward compatibility reasons. It requires a single instance of IfcSite and WGS84 as coordinate reference system.For exact georeferencing (or referencing to any other geographic coordinate system other than WSG84) the entities IfcCoordinateReferenceSystem and IfcMapConversion have to be used to define an exact mapping of the project engineering coordinate system to the geographic (or map) coordinate system.reference height of site is provided by: IfcSite.RefElevation, it is given according to the height datum used at this location.
the reference height of each building situated at the site is given against the same height datum used at this location.
the elevations of each storey belonging to each building are given as local height relative to the reference height of the building.HISTORY  New entity in IFC1.0.","site","IfcSite",
"space","IfcSpace","A space represents an area or volume bounded actually or theoretically. Spaces are areas or volumes that provide for certain functions within a building.A space is associated to a building storey (or in case of exterior spaces to a site). A space may span over several connected spaces. Therefore a space group provides for a collection of spaces included in a storey. A space can also be decomposed in parts, where each part defines a partial space. This is defined by the CompositionType attribute of the supertype IfcSpatialStructureElement which is interpreted as follow:COMPLEX = space group
ELEMENT = space
PARTIAL = partial spaceNOTE  View definitions and implementation agreements may restrict spaces with CompositionType=ELEMENT to be non-overlapping.The IfcSpace is used to build the spatial structure of a building (that serves as the primary project breakdown and is required to be hierarchical). The spatial structure elements are linked together by using the objectified relationship IfcRelAggregates.Figure 1 shows the IfcSpace as part of the spatial structure. It also serves as the spatial container for space related elements.NOTE  Detailed requirements on mandatory element containment and placement structure relationships are given in view definitions and implementer agreements.The following guidelines should apply for using the Name, Description, LongName and ObjectType attributes.Name holds the unique name (or space number) from the plan.
Description holds any additional information field the user may have specified, there are no further recommendations.
LongName holds the full name of the space, it is often used in addition to the Name, if a number is assigned to the room, then the descriptive name is exchanged as LongName.
ObjectType holds the space type, i.e. usually the functional category of the space .NOTE  In cases of inconsistency between the geometric representation of the IfcSpace and the combined geometric representations of the surrounding IfcRelSpaceBoundary, the geometric representation of the space should take priority over the geometric representation of the surrounding space boundaries.Figure 2 describes the heights and elevations of the IfcSpace.elevation of the space (top of construction slab) equals elevation of storey: provided by IfcBuildingStorey.Elevation relative to em>IfcBuilding.ElevationOfRefHeight
elevation of the space flooring (top of flooring on top of slab): provided by IfcSpace.ElevationWithFlooring relative to IfcBuilding.ElevationOfRefHeight
height of space (top of slab below to bottom of slab above): provided by BaseQuantity with Name=""Height""
floor height of space (top of slab below to top of flooring): provided by BaseQuantity with Name=""FinishFloorHeight""
net height of space (top of flooring to bottom of suspended ceiling): provided by BaseQuantity with Name=""FinishCeilingHeight""HISTORY  New entity in IFC1.0","space","IfcSpace",
"spatialZone","IfcSpatialZone","A spatial zone is a non-hierarchical and potentially overlapping decomposition of the project under some functional consideration. A spatial zone might be used to represent a thermal zone, a construction zone, a lighting zone, a usable area zone. A spatial zone might have its independent placement and shape representation.The IfcSpatialZone inherits and declares these attributes that shall have the following meaning:Name: A number or designator provided by the user or system for the spatial element
LongName: Name of the spatial element provided by the user
Description: Any additional description provided by the user
ObjectType: reserved for typing of spatial elements in case of PredefinedType = .USERDEFINED., restrictions on applicable values might be published in view definitions or implementer agreements.EXAMPLE A Name could be ""1-003"", typically a running number provided by default by the application. LongName may be ""Office"", and Description may be ""Corner office with habour view"".Physical elements that are referenced by this spatial zone are related using the IfcRelReferencedInSpatialStructure relationship as it is a non-hierarchical assignment in addition to the hierarchical spatial containment within a subtype of IfcSpatialStructureElement. Also spaces, that referenced by this spatial zone are related using the IfcRelReferencedInSpatialStructure relationship. The IfcSpatialZone itself can also be referenced by another spatial element using IfcRelReferencedInSpatialStructure.NOTE  The IfcSpatialZone is different to the IfcZone entity by allowing an own placement and shape representation, whereas IfcZone is only a grouping of IfcSpace's.
HISTORY  New entity in IFC4.","spatial zone","IfcSpatialZone",
"transportationDevice","IfcTransportationDevice","Abstract intermediate supertype for transportation devices.","transportation device","IfcTransportationDevice",
"transportElement","IfcTransportElement","A transport element is a generalization of all transport related objects that move people, animals or goods within a Facility. The IfcTransportElement defines the occurrence of a transport element, that (if given), is expressed by the IfcTransportElementType.EXAMPLE Transportation elements include elevator (lift), escalator, moving walkway, etc.
NOTE  More detailed equipment that may be a part of a transportation device, like a lifting hook, is defined as IfcDiscreteAccessory. It maybe included as a part of the IfcTransportElement by virtue of the objectified relationship IfcRelAggregates.Transport element can describe fixed or non fixed elements, which can either be identified as specified operational assets within a facility or vehicles that interact with the facility as a user or customer.
In the case of operational assets, instances of IfcTransportElement can represent individual identifiable vehicles or structures with properties such as serial numbers, registration numbers etc. and be typed accordingly by instances of IfcTransportElementType.In the case transport elements that interact as users or customers, such as cars on a road or vessels at a port, IfcTransportElementType is used to define element specifications which are used to design, analyse and provide operational constraints to the facility.Depending on local classification systems transport elements and transportation systems in buildings are either considered as part of a built system, or as part of a built service system. Within IFC they are considered as part of a built system and may have to be mapped appropriately.HISTORY  New entity in IFC2x.","transport element","IfcTransportElement",
"vehicle","IfcVehicle","A Vehicle.","vehicle","IfcVehicle",
"vibrationDamper","IfcVibrationDamper","A vibration damper is a device used to minimize the effects of vibration in a structure by dissipating kinetic energy. The damper may be passive (elastic, frictional, inertia) or active (in a system using sensors and actuators).","vibration damper","IfcVibrationDamper",
"buildingStorey","IfcBuildingStorey","The building storey has an elevation and typically represents a (nearly) horizontal aggregation of spaces that are vertically bound.NOTE  Definition from ISO 6707-1:
space between two consecutive floors or between a floor and a roofA storey is (if specified) associated to a building. A storey may span over several connected storeys. Therefore storey complex provides for a collection of storeys included in a building. A storey can also be decomposed in (horizontical) parts, where each part defines a partial storey. This is defined by the composition type attribute of the supertype IfcSpatialStructureElement which is interpreted as follow:COMPLEX: building storey complex
ELEMENT: building storey
PARTIAL: partial building storeyEXAMPLE  In split level houses, a storey is split into two or more partial storeys, each with a different elevation. It can be handled by defining a storey, which includes two or more partial storeys with the individual elevations.The IfcBuildingStorey is used to build the spatial structure of a building (that serves as the primary project breakdown and is required to be hierarchical). The spatial structure elements are linked together by using the objectified relationship IfcRelAggregates.Figure 1 shows the IfcBuildingStorey as part of the spatial structure. It also serves as the spatial container for building and other elements.NOTE  Detailed requirements on mandatory element containment and placement structure relationships are provided in model view definitions.Figure 1 — Building storey compositionFigure 2 describes the heights and elevations of the IfcBuildingStorey.elevation of the structural slab level: provided by Pset_BuildingStoreyCommon with Name=""ElevationOfSSLRelative""
elevation of the finish floor level: provided by Pset_BuildingStoreyCommon with Name=""ElevationOfFFLRelative""
gross height of storey, also referred to as total height or system height (top of construction slab to top of construction slab above): provided by Qto_BuildingStoreyBaseQuantities with Name=""GrossHeight""
net height of storey (top of construction slab to bottom of construction slab above): provided by Qto_BuildingStoreyBaseQuantities with Name=""NetHeight""Figure 2 — Example showing the use of base quantities for building storeysHISTORY  New entity in IFC1.0","building storey","IfcBuildingStorey",
"system","IfcSystem","A system is an organized combination of related parts within an AEC product, composed for a common purpose or function or to provide a service. A system is essentially a functionally related aggregation of products. The grouping relationship to one or several instances of IfcProduct (the system members) is handled by IfcRelAssignsToGroup.NOTE  The use of IfcSystem often applies to the representation of building services related systems, such as the piping system, cold water system, etc. Members within such a system may or may not be connected using the connectivity related entities (through IfcDistributionPort).
HISTORY  New entity in IFC1.0","system","IfcSystem",
