"LRML_ID","TEXT","LRML","UPDATED_AT","ID","PARAPHRASE","COMMENTS","AUTHOR",
358,"Solar water heater; This Acceptable Solution meets the requirements of NZBC Clauses B1, B2, E2, G12 and H1.","if(complyWith(solarWaterHeater, nzbc_g12as2)), then(complyWith(solarWaterHeater, and(nzbc_b1, nzbc_b2, nzbc_e2, nzbc_g12, nzbc_h1)))",2023-02-06 22:42:30.925974000,358,"","","",
359,"1.1.1 Where a building has not been specifically designed to support a solar water heater, this Acceptable Solution can be used for the support and fixing of a solar collector on buildings that meet the structural requirements specified in any one of the following: • NZS 3604: 1990 • NZS 3604: 1999 • NZS 3604: 2011 • NZS 4203 • AS/NZS 1170: Parts 0, 1, 2, 3 and NZS 1170: Part 5. But only when all of the following requirements are met: a) the weight of solar collector, including frames, fittings, and heat transfer fluid, has a combined weight of no more than 22 kg per square metre (based on the gross area of the solar collector), and b) the hot water storage tank is not installed on or above the roof.","if(and(not(for(building.design, solarWaterHeater)), on(solarCollector.installation, building), complyWith(building.structure, or(nzs_3604_1990, nzs_3604_1999, nzs_3604_2011, nzs_4203, nzs_1170_0, nzs_1170_1, nzs_1170_2, nzs_1170_3, nzs_1170_5)), define(solarCollector.weight, x0), define(frame.weight, x1), define(fitting.weight, x2), define(heatTransferFluid.weight, x3), equal(combinedWeight, 'x0 + x1 + x2 + x3'), define(solarCollector.grossArea, x4), equal(weight.perUnitArea, 'combinedWeight / x4'), lessThanEqual(weight.perUnitArea, 22 kg), not(on(hotWaterStorageTank.installation, roof)), not(above(hotWaterStorageTank.installation, roof)))), then(and(permission(complyWith(solarCollector.support, nzbc_g12as2)), permission(complyWith(solarCollector.fixing, nzbc_g12as2))))",2023-02-06 22:42:30.925974000,359,"","","",
360,"2.1.1 All material used to install the solar water heater must: a) meet the durability requirements of NZBC Clause B2, and b) be suitable for their use, location and environment as shown in Table 1, and c) be compatible with adjoining materials as shown in Table 2, and d) be compatible with materials subject to run-off as shown in Table 3 (except as described in Paragraph 2.1.2).","if(has(solarWaterHeater.installation, material)), then(obligation(complyWith(material, and(nzbc_b2, nzbc_g12as2_t1, nzbc_g12as2_t2, nzbc_g12as2_t3))))",2023-02-06 22:42:30.925974000,360,"","","",
361,"Solar Water Heaters 2.1.3 If the requirements described in Paragragh 2.1.2 are not met then either the EPDM boots or the galvanised roofing must be painted with a suitable protective coating.","if(not(complyWith(solarWaterHeater, 'nzbc_g12as2_2.1.2'))), then(or(obligation(is(epdmBoots.paint, protective)), obligation(is(galvanisedRoofing.paint, protective))))",2023-02-06 22:42:30.925974000,361,"","","",
362,"Solar Water Heaters 2.1.4 Table 2 shows that galvanized fixings must be used rather than stainless steel when in contact with galvanized cladding and zinc-aluminium-magnesium (combinations) coated cladding. (This includes mounting brackets and straps.).","if(and(has(solarWaterHeater, fixing), adjoin(fixing, or(galvanisedCladding, zincAluminiumMagnesiumCoatedCladding)))), then(obligation(is(fixing.material, galvanised)))",2023-02-06 22:42:30.925974000,362,"","","",
363,"3.1.1 Solar water heaters must comply with AS/NZS 2712.","if(is(solarWaterHeater, true)), then(obligation(complyWith(solarWaterHeater, nzs_2712)))",2023-02-06 22:42:30.925974000,363,"","","",
364,"3.1.2 Tanks installed as part of a pumped solar water heater where the tank is separately mounted from the collector must comply with the minimum tank insulation requirements of AS/NZS 4692.2.","if(and(is(solarWaterHeater.type, pumped), partOf(tank, solarWaterHeater), awayFrom(tank, collector))), then(obligation(complyWith(tank, nzs_4692_2)))",2023-02-06 22:42:30.925974000,364,"","","",
365,"3.2.1 Where a solar water heater has a controller, the controller must meet the requirements specified in AS/NZS 2712: clause 6.3.","if(has(solarWaterHeater, controller)), then(obligation(complyWith(controller, 'nzs_2712_6.3')))",2023-02-06 22:42:30.925974000,365,"","","",
366,"3.2.3 A solar water heater which meets the requirements described in Paragraphs 3.2.1 and/or 3.2.2 satisfies NZBC Clause H1.3.4.","if(complyWith(solarWaterHeater, or('nzbc_g12as2_3.2.1', 'nzbc_g12as2_3.2.2'))), then(complyWith(solarWaterHeater, 'nzbc_h1_3.4'))",2023-02-06 22:42:30.925974000,366,"","","",
367,"3.3.1 Solar water heaters must have a minimum of 50 litres of hot water storage per square metre of collector area.","if(has(solarWaterHeater, controller)), then(and(obligation(has(solarWaterHeater, hotWaterStorage)), define(controller.area, x0), is(x0.unit, m2), obligation(greaterThanEqual(hotWaterStorage.capacity, '50 l * x0'))))",2023-02-06 22:42:30.925974000,367,"","","",
368,"9.1.1 Limitations; This Acceptable Solution is limited to the wall cladding systems listed in Paragraph 3.3.","if(and(is(cladding.application, wall), asPer(cladding.system, rule), equal(rule.key, 3.3))), then(permission(complyWith(cladding.system, nzbc_e2as1)))",2023-02-06 22:42:30.925974000,368,"","","",
369,"9.1.2 Maintenance; Maintenance of wall claddings shall be carried out as necessary to achieve the expected durability of the material – refer to Paragraph 2.5.","if(and(is(cladding.application, wall), has(cladding.material, durability))), then(and(obligation(include(cladding, maintenance)), obligation(complyWith(maintenance.task, rule)), obligation(equal(rule.key, 2.5.0))))",2023-02-06 22:42:30.925974000,369,"","","",
370,"9.0 Wall Claddings 9.1.3 Bottom of cladding; Separations, clearances to ground level, and overlaps shall be as shown in Figure 65 and Table 18.","if(is(cladding.application, wall)), then(and(obligation(complyWith(cladding.separation, and(figure, table))), to(cladding.clearance, groundLevel), obligation(complyWith(cladding.clearance, and(figure, table))), obligation(complyWith(cladding.overlap, and(figure, table))), obligation(equal(figure.key, f65)), obligation(equal(table.key, t18))))",2023-02-06 22:42:30.925974000,370,"","","",
371,"9.0 Wall Claddings; Clearances to roof claddings and decks shall be minimum 35 mm – refer to Table 7 and Figure 18.","if(and(is(cladding.application, wall), to(cladding.clearance, and(roofCladding, deck)))), then(and(obligation(greaterThanEqual(cladding.clearance, 35 mm)), obligation(complyWith(cladding.clearance, and(table, figure))), obligation(equal(table.key, t7)), obligation(equal(figure.key, f18))))",2023-02-06 22:42:30.925974000,371,"","","",
372,"9.0 Wall Claddings; 9.1.3 Bottom of cladding; Clearances shall be measured to: b) The top surface of any adjacent sloped or horizontal apron flashing.","if(and(is(cladding.application, wall), define(bottomOf(cladding), x0), adjacent(flashing, wall), is(flashing.type, apron), is(flashing, or(sloped, horizontal)), has(flashing, topSurface))), then(and(obligation(has(cladding.clearance, measurement)), obligation(from(measurement, x0)), obligation(to(measurement, topSurface))))",2023-02-06 22:42:30.925974000,372,"","","",
373,"Roof Framing 6.2.7 The centre of all fixings must be no closer than 10 fixing diameters from the end of a piece of timber.","if(and(has(roof, framing), is(framing.material, timber), has(roof.framing, fixing), define(fixing.diameter, x0), define(fixing.centreline, x1), define(timber.end, x2))), then(and(obligation(inBetween(fixing.dimension, and(x1, x2))), greaterThanEqual(fixing.dimension, '10 * x0')))",2023-02-06 22:42:30.925974000,373,"","","",
374,"6.3.1 Solar collectors can be fixed directly to the roof as shown in Figures 10 and 11 or Figures 12 and 13, where the requirements described in Paragraph 6.3 are met.","if(complyWith(solarCollector, 'nzbc_g12as2_6.3')), then(or(permission(asPer(solarCollector, and(nzbc_g12as2_f10, nzbc_g12as2_f10))), permission(asPer(solarCollector, and(nzbc_g12as2_f12, nzbc_g12as2_f13)))))",2023-02-06 22:42:30.925974000,374,"","","",
375,"6.3.2 Solar collectors mounted on the roof cladding must meet the materials requirements described in Paragraph 2.","if(and(on(solarCollector.mounting, roof), is(solarCollector.location, roofCladding))), then(obligation(complyWith(solarCollector.material, nzbc_g12as2_2)))",2023-02-06 22:42:30.925974000,375,"","","",
376,"6.4.2 Solar collectors mounted parallel to the roof that are elevated up to 50 mm above the roof cladding must be supported by: a) underlying purlins conforming to Paragraph 6.4.1 (a) or (b), or b) underlying rafters or trusses with connections conforming with Paragraphs 6.4.1 (a) or (c), or c) collector support rails conforming to Paragraph 6.5.","if(and(on(solarCollector.mounting, roof), is(solarCollector.orientation, parallelToRoof), above(solarCollector.location, roofCladding), lessThanEqual(solarCollector.elevation, 50 mm))), then(or(and(obligation(is(solarCollector.support, underlyingPurlins)), obligation(complyWith(underlyingPurlins, or('nzbc_g12as2_6.4.1.a', 'nzbc_g12as2_6.4.1.bedroom')))), and(obligation(is(solarCollector.support, or(underlyingRafters, underlyingTrusses))), obligation(complyWith(underlyingRafters.connections, or('nzbc_g12as2_6.4.1.a', 'nzbc_g12as2_6.4.1.c'))), obligation(complyWith(underlyingTrusses.connections, or('nzbc_g12as2_6.4.1.a', 'nzbc_g12as2_6.4.1.c')))), and(obligation(is(solarCollector.support, collectorSupportRails)), obligation(complyWith(collectorSupportRails, 'nzbc_g12as2_6.5')))))",2023-02-06 22:42:30.925974000,376,"","","",
377,"Solar collector 6.5.1 Collector support rails may either: a) run horizontally across the slope of the roof as provided for in Paragraph 6.5.2 and Figure 17, or b) run up the slope of the roof as provided for in Paragraph 6.5.3 and Figure 18.","if(has(solarCollector, collectorSupportRails)), then(or(obligation(complyWith(collectorSupportRails, and('nzbc_g12as2_6.5.2', nzbc_g12as2_f17))), obligation(complyWith(collectorSupportRails, and('nzbc_g12as2_6.5.3', nzbc_g12as2_f18)))))",2023-02-06 22:42:30.925974000,377,"","","",
378,"6.6.1 Solar collectors mounted at a different pitch to the pitch of the roof must be installed with no less than 8 fixing points and must meet all the requirements described in Paragraph 6.6 and Figure 19.","if(not(is(solarCollector.mountingPitch, roofPitch))), then(and(obligation(has(solarCollector.installation, fixingPoint)), obligation(greaterThanEqual(count(fixingPoint), 8)), obligation(complyWith(solarCollector.installation, and('nzbc_g12as2_6.6', nzbc_g12as2_f19)))))",2023-02-06 22:42:30.925974000,378,"","","",
379,"6.6.3 The edge of the panel elevated above the roof plane is to be supported by hot dip galvanized steel or stainless steel angle struts which are: a) 25 x 25 x 3 mm angle for struts up to 1.0 m long.","if(and(is(panel.edge, elevated), above(panel.edge, roof), lessThanEqual(angleStrut.length, 1 m))), then(and(obligation(has(panel.edge, support)), obligation(is(support.type, angleStrut)), obligation(is(angleStrut.material, or(hotDipGalvanisedSteel, stainlessSteel))), obligation(equal(angleStrut.width, 25 mm)), obligation(equal(angleStrut.length, 25 mm)), obligation(equal(angleStrut.thickness, 3 mm))))",2023-02-06 22:42:30.925974000,379,"","","",
380,"6.6.3 The edge of the panel elevated above the roof plane is to be supported by hot dip galvanized steel or stainless steel angle struts which are: 30 x 30 x 3 mm angle for struts up to 1.4 m long.","if(and(is(panel.edge, elevated), above(panel.edge, roof), lessThanEqual(angleStrut.length, 1.4 m))), then(and(obligation(has(panel.edge, support)), obligation(is(support.type, angleStrut)), obligation(is(angleStrut.material, or(hotDipGalvanisedSteel, stainlessSteel))), obligation(equal(angleStrut.width, 30 mm)), obligation(equal(angleStrut.length, 30 mm)), obligation(equal(angleStrut.thickness, 3 mm))))",2023-02-06 22:42:30.925974000,380,"","","",
381,"Cuts or holes made in steel after galvanizing are to be protected from corrosion.","if(and(has(steel, penetration), after(penetration, galvanising))), then(obligation(has(penetration, corrosionProtection)))",2023-02-06 22:42:30.925974000,381,"","","",
382,"4.2.1 Access points shall be provided in discharge pipes to allow the easy clearance of blockages.","if(is(dischargePipe, true)), then(and(obligation(has(dischargePipe, accessPoint)), obligation(greaterThanEqual(count(accessPoint), 1))))",2023-02-06 22:42:30.925974000,382,"","","",
383,"4.4.1 The gradient of discharge pipes shall be not less than that required in Table 4 for the relevant discharge unit loading.","if(is(dischargePipe, true)), then(and(obligation(greaterThanEqual(dischargePipe.gradient, value)), obligation(asPer(value, nzbc_g13as1_t4))))",2023-02-06 22:42:30.925974000,383,"","","",
384,"4.5.1 Waste water fixture discharge pipes shall discharge either to: a) A gully trap, in accordance with Figure 5 of G13/AS1 and Figure 3 of G13/AS2, or b) A discharge stack as in Paragraph 4.7 and Figures 7 and 8.","if(is(dischargePipe.type, and(wasteWater, fixture))), then(or(and(obligation(to(dischargePipe.discharge, gullyTrap)), obligation(complyWith(dischargePipe.discharge, and(nzbc_g13as1_f5, nzbc_g13as2_f3)))), and(obligation(to(dischargePipe.discharge, dischargeStack)), obligation(asPer(dischargePipe.discharge, and('nzbc_g13as1_4.7', nzbc_g13as1_f7, nzbc_g13as1_f8))))))",2023-02-06 22:42:30.925974000,384,"","","",
385,"4.5.2 Water seal protection: Waste water fixture discharge pipes shall be vented to comply with Paragraph 5.0 and as required in Table 5.","if(and(is(dischargePipe.type, wasteWater), is(wasteWater.type, fixture))), then(and(obligation(has(dischargePipe, vent)), obligation(complyWith(dischargePipe.vent, 'nzbc_g13as1_5.0')), obligation(asPer(dischargePipe.vent, nzbc_g13as1_t5))))",2023-02-06 22:42:30.925974000,385,"","","",
386,"4.6.1 Fixture discharge pipes serving soil fixtures shall discharge either: a) Directly to the drain, as shown in Figure 6(1), or b) To a stack, as in Paragraph 4.7 and as shown in Figures 7 and 8.","if(is(dischargePipe.type, soilFixture)), then(or(and(obligation(to(dischargePipe.discharge, drain)), obligation(asPer(dischargePipe.discharge, 'nzbc_g13as1_f6.1'))), and(obligation(to(dischargePipe.discharge, stack)), obligation(asPer(dischargePipe.discharge, and('nzbc_g13as1_4.7', nzbc_g13as1_f7, nzbc_g13as1_f8))))))",2023-02-06 22:42:30.925974000,386,"","","",
387,"4.6.2 Water seal protection: Soil fixture discharge pipes shall be vented to comply with Paragraph 5.0 and as required in Table 5 (see Figure 6(2)).","if(is(dischargePipe.type, soilFixture)), then(and(obligation(has(dischargePipe, vent)), obligation(complyWith(dischargePipe.vent, 'nzbc_g13as1_5.0')), obligation(asPer(dischargePipe.vent, nzbc_g13as1_t5))))",2023-02-06 22:42:30.925974000,387,"","","",
388,"5.1.1 Discharge pipes shall be vented where required by Table 5.","if(and(is(dischargePipe.requirement, vent), asPer(dischargePipe.requirement, nzbc_g13as1_t5))), then(obligation(has(dischargePipe, vent)))",2023-02-06 22:42:30.925974000,388,"","","",
389,"5.3.1 Fixture vent pipes, branch vent pipes, discharge stack vents and relief vents shall have a diameter of no less than that given in Table 6.","if(or(is(ventPipe.type, or(fixture, branch)), is(vent.type, or(dischargeStack, relief)))), then(or(obligation(complyWith(ventPipe.diameter, nzbc_g13as1_t6)), obligation(complyWith(vent.diameter, nzbc_g13as1_t6))))",2023-02-06 22:42:30.925974000,389,"","","",
390,"5.6.1 The discharge stack vent, if also acting as a drain vent pipe shall have a diameter of not less than 80 mm.","if(include(dischargeStackVent.purpose, drainVentPipe)), then(obligation(greaterThanEqual(dischargeStackVent.diameter, 80 mm)))",2023-02-06 22:42:30.925974000,390,"","","",
391,"Where not acting as a drain vent the discharge stack vent pipe shall have a diameter of not less than that required in Table 6.","if(not(include(dischargeStackVent.purpose, drainVentPipe))), then(obligation(complyWith(dischargeStackVent.diameter, nzbc_g13as1_t6)))",2023-02-06 22:42:30.925974000,391,"","","",
392,"5.7.1 Open vent pipes shall terminate outside the building in accordance with Paragraphs 5.7.2 and 5.7.3 or 5.7.4.","if(is(ventPipe.type, open)), then(and(obligation(complyWith(ventPipe, 'nzbc_g13as1_5.7.2')), obligation(complyWith(ventPipe, or('nzbc_g13as1_5.7.3', 'nzbc_g13as1_5.7.4')))))",2023-02-06 22:42:30.925974000,392,"","","",
393,"5.8.1 General; Air admittance valves may be used as venting where specified in accordance with Table 5.","if(complyWith(vent, nzbc_g13as1_t5)), then(and(permission(has(vent, airAdmittanceValve)), obligation(asPer(airAdmittanceValve, nzbc_g13as1_t5))))",2023-02-06 22:42:30.925974000,393,"","","",
394,"5.8.2 Air admittance valves shall be manufactured to ASSE 1050, ASSE 1051, EN 12380 or AS/NZS 4936.","if(is(airAdmittanceValve, true)), then(obligation(complyWith(airAdmittanceValve.manufacture, or(asse_1050, asse_1051, en_12380, nzs_4936))))",2023-02-06 22:42:30.925974000,394,"","","",
395,"Solar Water Heating System 7.1.1 A permanent label must be fixed to a prominent part of the system which includes all markings required in the appropriate Standard identified in Paragraph 3.1.1.","if(and(has(solarWaterHeatingSystem, part), is(part, prominent))), then(and(obligation(has(part, label)), obligation(is(label.type, permanent)), obligation(is(label.content, marking)), obligation(asPer(markings, 'nzbc_g12as2_3.1.1'))))",2023-02-06 22:42:30.925974000,395,"","","",
396,"7.2.1 Solar water heaters and their components must meet the durability requirements specified in NZBC Clause B2.","if(or(equal(solarWaterHeater, true), partOf(component, solarWaterHeater))), then(and(obligation(complyWith(solarWaterHeater, nzbc_b2)), obligation(complyWith(component, nzbc_b2))))",2023-02-06 22:42:30.925974000,396,"","","",
397,"7.2.2 A solar water heater is easy to access and moderately difficult to replace and therefore the durability requirement is 15 years.","if(is(solarWaterHeater, true)), then(obligation(greaterThanEqual(solarWaterHeater.durability, 15 years)))",2023-02-06 22:42:30.925974000,397,"","","",
398,"1.0.1 This Acceptable Solution applies to above-ground non-pressure (gravity flow) sanitary plumbing for buildings having 3 levels or less and includes all pipework for foul water within, or on the building, including any basements.","if(and(lessThanEqual(building.buildingStorey, 3), has(building, sanitaryPlumbing), is(sanitaryPlumbing.type, nonPressure), above(sanitaryPlumbing.location, ground), or(within(foulWaterPipework, building), on(foulWaterPipework, building)))), then(and(obligation(complyWith(sanitaryPlumbing, nzbc_g13as1)), obligation(complyWith(foulWaterPipework, nzbc_g13as1))))",2023-02-06 22:42:30.925974000,398,"","","",
399,"1.0.2 The solution does not include: a) Specialised types of sanitary fixtures or sanitary appliances used within buildings such as hospitals, laboratories and factories.","if(and(include(building, or(sanitaryFixture, sanitaryAppliance)), or(is(sanitaryFixture.type, specialised), is(sanitaryAppliance.type, specialised)), similarTo(building.type, or(hospital, laboratory, factory)))), then(and(prohibition(complyWith(sanitaryFixture, nzbc_g13as1)), prohibition(complyWith(sanitaryAppliance, nzbc_g13as1))))",2023-02-06 22:42:30.925974000,399,"","","",
400,"1.0.2 The solution does not include: The conveyance of industrial liquid wastes, chemical or toxic wastes and other wastes which cannot be discharged to a sewer without pretreatment.","if(or(is(sanitaryPlumbing.conveyance, or(ind.LiquidWaste, chemicalWaste, toxicWaste)), and(is(sanitaryPlumbing.conveyance, waste), has(waste.discharge, requirement), is(requirement, pretreatment)))), then(prohibition(complyWith(sanitaryPlumbing.conveyance, nzbc_g13as1)))",2023-02-06 22:42:30.925974000,400,"","","",
401,"2.1.1 Materials for sanitary plumbing systems using gravity flow shall comply with Table 1.","if(is(sanitaryPlumbingSystem.type, gravityFlow)), then(obligation(complyWith(sanitaryPlumbingSystem.material, nzbc_g13as1_t1)))",2023-02-06 22:42:30.925974000,401,"","","",
402,"3.1.1 Discharge points from sanitary fixtures and sanitary appliances shall have a water trap to prevent foul air from the plumbing system entering the building.","if(from(dischargePoint, or(sanitaryFixture, sanitaryAppliance))), then(obligation(has(dischargePoint, waterTrap)))",2023-02-06 22:42:30.925974000,402,"","","",
403,"3.1.2 Water traps shall be: a) Removable, b) Able to be dismantled, or c) Fitted with a cleaning eye.","if(is(waterTrap, true)), then(or(obligation(is(waterTrap.feature, removable)), is(waterTrap.feature, or(dismantleable, cleaningEye))))",2023-02-06 22:42:30.925974000,403,"","","",
404,"3.2.1 Under normal operating conditions, fixture traps shall retain a water seal depth of not less than 25 mm (see Figure 1).","if(and(is(trap.type, fixture), is(trap.operatingCondition, normal))), then(obligation(greaterThanEqual(trap.waterSealDepth, 25 mm)))",2023-02-06 22:42:30.925974000,404,"","","",
405,"3.2.2 The diameter of the water trap shall be not less than that given in Table 2.","if(is(waterTrap, true)), then(obligation(asPer(waterTrap.diameter, nzbc_g13as1_t2)))",2023-02-06 22:42:30.925974000,405,"","","",
406,"3.4.1 Floor waste outlets shall have a removable grating that is flush with the floor.","if(is(outlet.type, floorWaste)), then(and(obligation(has(outlet, removableGrating)), obligation(is(removableGrating.location, flushWithfloor))))",2023-02-06 22:42:30.925974000,406,"","","",
407,"3.4.2 The floor waste shall have a minimum diameter of 40 mm.","if(is(floorWaste, true)), then(obligation(greaterThanEqual(floorWaste.diameter, 40 mm)))",2023-02-06 22:42:30.925974000,407,"","","",
408,"3.4.2 The floor waste, and the water trap if used, shall have a minimum diameter of 40 mm.","if(or(is(floorWaste, true), is(waterTrap, true))), then(and(obligation(greaterThanEqual(floorWaste.diameter, 40 mm)), greaterThanEqual(waterTrap.diameter, 40 mm)))",2023-02-06 22:42:30.925974000,408,"","","",
409,"Individual floor waste pipes connected to a floor waste stack need not be vented (see Figure 3).","if(and(has(floorWaste, and(pipe, stack)), connect(pipe, stack))), then(permission(not(is(pipe, vented))))",2023-02-06 22:42:30.925974000,409,"","","",
410,"All trap charging systems shall incorporate backflow prevention in accordance with G12/AS1.","if(is(trapChargingSystem, true)), then(and(obligation(has(trapChargingSystem, backflowPrevention)), obligation(complyWith(backflowPrevention, nzbc_g12as1))))",2023-02-06 22:42:30.925974000,410,"","","",
411,"5.2.9 Sealant used in the installation of solar water heaters must be a neutral cure silicone sealant and must be used in conjunction with mechanical fasteners. The sealant must comply with: a) Type F, Class 2OLM or 25LM of ISO 11600, or b) low modulus Type II Class A of Federal Specification TT-S-00230C.","if(has(solarWaterHeater.installation, sealant)), then(and(obligation(is(sealant.type, neutralCureSilicone)), obligation(adjoin(sealant, mechanicalFastener)), obligation(complyWith(sealant, or(iso_11600_typeF, iso_11600_class_20lm, iso_11600_class_25lm, tts_00230cLowModulusTypeIiClassA)))))",2023-02-06 22:42:30.925974000,411,"","","",
412,"5.2.10 Acetic cured silicone sealants may be used with stainless steel but must not be used on zinc or aluminium-zinc coatings.","if(and(include(solarWaterHeater.installation, sealant), is(sealant.type, aceticCuredSilicone))), then(and(permission(for(sealant, stainlessSteel)), prohibition(for(sealant, or(zincCoating, aluminiumZincCoating)))))",2023-02-06 22:42:30.925974000,412,"","","",
413,"5.2.12 All fixings or penetrations through the roof must be through the crests of the roof cladding.","if(has(roof, or(fixing, penetration))), then(and(obligation(is(fixing.location, roofCladdingCrest)), is(penetration.location, roofCladdingCrest)))",2023-02-06 22:42:30.925974000,413,"","","",
414,"5.3.1 Pipes and their supports must be electrochemically compatible or be electrolytically separated (refer to Table 2).","if(has(pipe, pipeSupport)), then(or(and(define(pipe.material, x0), define(pipeSupport.material, x1), obligation(inBetween(electrochemicalCompatibility, and(x0, x1)))), and(obligation(inBetween(separation, and(pipe, pipeSupport))), obligation(is(separation.type, electrolytical)))))",2023-02-06 22:42:30.925974000,414,"","","",
415,"5.3.2 Pipes must be installed and supported to permit thermal movement, except where anchor points are necessary.","if(or(not(has(pipe, anchorPoint)), loop(in(forEach(anchorPoint), pipe), not(is(anchorPoint, necessary))))), then(and(obligation(has(pipe, thermalMovementAllowance)), obligation(has(pipeSupport, thermalMovementAllowance))))",2023-02-06 22:42:30.925974000,415,"","","",
416,"5.4.1 Hot water pipes must be insulated to satisfy the requirements of NZBC Clause H1.3.4, except where connected to a heat dissipation device.","if(not(connect(hotWaterPipe, heatDissipationDevice))), then(obligation(complyWith(hotWaterPipe, 'nzbc_h1_3.4')))",2023-02-06 22:42:30.925974000,416,"","","",
417,"6.2.2 The installation of solar collectors must not dent, bend or distort the roof cladding or damage any protective coatings.","if(and(is(solarCollector.installation, true), is(solarCollector.location, roofCladding))), then(and(prohibition(is(roofCladding, and(dented, bent, distorted))), prohibition(is(protectiveCoating, damaged))))",2023-02-06 22:42:30.925974000,417,"","","",
418,"6.2.3 All fixings that penetrate metal cladding must be provided with sealing washers or boots to prevent leakage in accordance with Paragraph 5.2.","if(and(has(metalCladding, penetration), is(penetration.type, fixing))), then(and(obligation(has(fixing, or(sealingWasher, boot))), obligation(complyWith(fixing, 'nzbc_g12as2_5.2'))))",2023-02-06 22:42:30.925974000,418,"","","",
419,"6.2.4 Solar collectors must be supported at no less than four points.","if(is(solarCollector.installation, true)), then(and(obligation(has(solarCollector.installation, support)), obligation(greaterThanEqual(count(support.point), 4))))",2023-02-06 22:42:30.925974000,419,"","","",
420,"Solar collectors; The outermost support points must be within 200 mm of the outside edge of the solar collector.","if(and(has(solarCollector.installation, support), is(support.location, outermost), define(support.centreline, x0), define(solarCollector.outsideEdge, x1))), then(and(obligation(inBetween(installation.dimension, and(x0, x1))), obligation(lessThanEqual(installation.dimension, 200 mm))))",2023-02-06 22:42:30.925974000,420,"","","",
421,"6.2.6 All screw fixings into roof framing timber must be installed with minimum distances from the centre of the fixing to the edge of the timber of: a) 20 mm for 8 gauge screws.","if(and(has(roof, framing), is(framing.material, timber), has(roof.framing, fixing), is(fixing.type, screw), equal(screw.size, 8 gauge), define(fixing.centreline, x0), define(timber.edge, x1))), then(and(obligation(inBetween(fixing.dimension, and(x0, x1))), greaterThanEqual(fixing.dimension, 20 mm)))",2023-02-06 22:42:30.925974000,421,"","","",
422,"6.2.6 All screw fixings into roof framing timber must be installed with minimum distances from the centre of the fixing to the edge of the timber of: 25 mm for 14 gauge screws.","if(and(has(roof, framing), is(framing.material, timber), has(roof.framing, fixing), is(fixing.type, screw), equal(screw.size, 14 gauge), define(fixing.centreline, x0), define(timber.edge, x1))), then(and(obligation(inBetween(fixing.dimension, and(x0, x1))), greaterThanEqual(fixing.dimension, 25 mm)))",2023-02-06 22:42:30.925974000,422,"","","",
423,"6.2.6 All bolt fixings into roof framing timber must be installed with minimum distances from the centre of the fixing to the edge of the timber of: 40 mm for 10 mm bolts.","if(and(has(roof, framing), is(framing.material, timber), has(roof.framing, fixing), is(fixing.type, bolt), equal(bolt.size, 10 mm), define(fixing.centreline, x0), define(timber.edge, x1))), then(and(obligation(inBetween(fixing.dimension, and(x0, x1))), greaterThanEqual(fixing.dimension, 40 mm)))",2023-02-06 22:42:30.925974000,423,"","","",
424,"3.1.1 To reduce the risk of blockages, the foul water drainage system shall: a) Have a simple layout that incorporates the least number of changes of direction, b) Use bends having a radius of the practical maximum, and c) Be laid only in straight lines between bends or junctions (both horizontally and vertically).","if(and(is(drain.medium, foulWater), or(has(drain.system, changeInDirection), has(drain.pipe, bend), inBetween(pipe.section, or(bends, junctions))))), then(and(obligation(is(min(changeInDirection.quantity), true)), obligation(is(max(bend.radius), true)), obligation(is(pipe.section, straight))))",2023-02-06 22:42:30.925974000,424,"","","",
425,"3.2.1 Any connection to a drain, excluding vent pipe connections, shall be made by means of sweep or oblique junctions. The angle that the branch makes at the point of entry with the main drain, shall be no greater than 60° (see Figure 1).","if(and(has(drain.system, connection), not(is(connection, ventPipe)))), then(and(obligation(is(connection.type, or(sweepJunction, obliqueJunction))), obligation(lessThanEqual(connection.angle, 60 deg))))",2023-02-06 22:42:30.925974000,425,"","","",
426,"Drainage 3.3.1 All gully traps shall be constructed to prevent the ingress of surface water and foreign bodies likely to cause a blockage, shall be located within the legal boundary of the land on which the building is erected.","if(has(drain.system, gullyTrap)), then(and(obligation(for(gullyTrap.prevention, ingress)), obligation(is(ingress.type, and(surfaceWater, foreignBodies))), obligation(within(gullyTrap.location, siteBoundary))))",2023-02-06 22:42:30.925974000,426,"","","",
427,"Drainage 3.3.1 All gully traps shall have (see Figures 2 and 3): The overflow level of the gully dish no less than: 25 mm above paved surfaces.","if(and(has(drain.system, gullyTrap), is(surface.type, paved), define(topOf(gullyTrap.overflow), x0), define(topOf(surface), x1))), then(obligation(greaterThanEqual('x0 - x1', 25 mm)))",2023-02-06 22:42:30.925974000,427,"","","",
428,"Drainage; All gully traps shall have: b) A grating that will allow surcharge.","if(has(drain.system, gullyTrap)), then(obligation(include(gullyTrap, grating)))",2023-02-06 22:42:30.925974000,428,"","","",
429,"Drainage 3.3.1 All gully traps shall have (see Figures 2 and 3): A minimum outlet pipe diameter of 100 mm.","if(has(drain.system, gullyTrap)), then(and(obligation(has(gullyTrap, outletPipe)), obligation(greaterThanEqual(outletPipe.diameter, 100 mm))))",2023-02-06 22:42:30.925974000,429,"","","",
