"KEY","CODE","DESCRIPTION","TEXT","TITLE","DATATYPE","PROPERTYSET",
"alkalinityConcentration","AlkalinityConcentration","Maximum alkalinity concentration (maximum sum of concentrations of each of the negative ions substances measured as CaCO3).","alkalinity concentration","AlkalinityConcentration","Real","Pset_MaterialWater",
"dissolvedSolidsContent","DissolvedSolidsContent","Fraction of the dissolved solids to the total amount of water. This is measured in weight of dissolved solids per weight of water and is therefore unitless.","dissolved solids content","DissolvedSolidsContent","Real","Pset_MaterialWater",
"hardness","Hardness","Water hardness as positive, multivalent ion concentration in the water (usually concentrations of calcium and magnesium ions in terms of calcium carbonate).","hardness","Hardness","Real","Pset_MaterialWater",
"impuritiesContent","ImpuritiesContent","Fraction of impurities such as dust to the total amount of water. This is measured in weight of impurities per weight of water and is therefore unitless.","impurities content","ImpuritiesContent","Real","Pset_MaterialWater",
"isPotable","IsPotable","If TRUE, then the water is considered potable.","is potable","IsPotable","Boolean","Pset_MaterialWater",
"phlevel","PHLevel","Maximum water PH in a range from 0-14.","phlevel","PHLevel","Real","Pset_MaterialWater",
"appearanceGrade","AppearanceGrade","Grade with respect to visual quality.","appearance grade","AppearanceGrade","String","Pset_MaterialWood",
"dimensionalChangeCoefficient","DimensionalChangeCoefficient","Weighted dimensional change coefficient, relative to 1% change in moisture content.","dimensional change coefficient","DimensionalChangeCoefficient","Real","Pset_MaterialWood",
"layers","Layers","Number of layers.","layers","Layers","Integer","Pset_MaterialWood",
"layup","Layup","Configuration of the lamination.","layup","Layup","String","Pset_MaterialWood",
"moistureContent","MoistureContent","Total weight of moisture relative to oven-dried weight of the wood.","moisture content","MoistureContent","Real","Pset_MaterialWood",
"plies","Plies","Number of plies.","plies","Plies","Integer","Pset_MaterialWood",
"species","Species","Wood species of a solid wood or laminated wood product.","species","Species","String","Pset_MaterialWood",
"strengthGrade","StrengthGrade","Grade with respect to mechanical strength and stiffness.","strength grade","StrengthGrade","String","Pset_MaterialWood",
"thicknessSwelling","ThicknessSwelling","Swelling ratio relative to board depth.","thickness swelling","ThicknessSwelling","Real","Pset_MaterialWood",
"applicableStructuralDesignMethod","ApplicableStructuralDesignMethod","Determines whether mechanical material properties are applicable to 'ASD' = allowable stress design (working stress design), 'LSD' = limit state design, or 'LRFD' = load and resistance factor design.","applicable structural design method","ApplicableStructuralDesignMethod","String","Pset_MaterialWoodBasedStructure",
"bendingStrength","BendingStrength","Bending strength.","bending strength","BendingStrength","Real","Pset_MechanicalBeamInPlane",
"compStrength","CompStrength","Compressive strength, α=0°.","comp strength","CompStrength","Real","Pset_MechanicalBeamInPlane",
"compStrengthPerp","CompStrengthPerp","Compressive strength, α=90°.","comp strength perp","CompStrengthPerp","Real","Pset_MechanicalBeamInPlane",
"raisedCompStrengthPerp","RaisedCompStrengthPerp","Alternative value for compressive strength, α=90°, which may be used under material and code dependent conditions (e.g. if deformation is tolerable, or far from ends of the member); conditions should be stated in SELF\IfcProperty.Description.","raised comp strength perp","RaisedCompStrengthPerp","Real","Pset_MechanicalBeamInPlane",
"referenceDepth","ReferenceDepth","Depth in bending for which the mechanical properties are valid; provided as a means to check the integrity of material assignment.","reference depth","ReferenceDepth","Real","Pset_MechanicalBeamInPlane",
"shearModulusMin","ShearModulusMin","Shear modulus, minimal value.","shear modulus min","ShearModulusMin","Real","Pset_MechanicalBeamInPlane",
"shearStrength","ShearStrength","Defining values: α; defined values: shear strength.","shear strength","ShearStrength","Real","Pset_MechanicalBeamInPlane",
"tensileStrength","TensileStrength","Indicates the ability to withstand breakage apart under applied force.","tensile strength","TensileStrength","Real","Pset_MechanicalBeamInPlane",
"tensileStrengthPerp","TensileStrengthPerp","Tensile strength, α=90°.","tensile strength perp","TensileStrengthPerp","Real","Pset_MechanicalBeamInPlane",
"torsionalStrength","TorsionalStrength","Shear strength in torsion.","torsional strength","TorsionalStrength","Real","Pset_MechanicalBeamInPlane",
"youngModulusMin","YoungModulusMin","Elastic modulus, minimal value, α=0°.","young modulus min","YoungModulusMin","Real","Pset_MechanicalBeamInPlane",
"youngModulusPerp","YoungModulusPerp","Elastic modulus, mean value, α=90°.","young modulus perp","YoungModulusPerp","Real","Pset_MechanicalBeamInPlane",
"youngModulusPerpMin","YoungModulusPerpMin","Elastic modulus, minimal value, α=90°.","young modulus perp min","YoungModulusPerpMin","Real","Pset_MechanicalBeamInPlane",
"raisedCompressiveStrength","RaisedCompressiveStrength","Alternative value for compressive strength which may be used under material and code dependent conditions (e.g. if deformation is tolerable, or far from ends of the member); conditions should be stated in SELF\IfcProperty.Description.","raised compressive strength","RaisedCompressiveStrength","Real","Pset_MechanicalPanelInPlane",
"youngModulusCompression","YoungModulusCompression","Elastic modulus in compression.","young modulus compression","YoungModulusCompression","Real","Pset_MechanicalPanelInPlane",
"category","Category","Designation of the category into which the actors in the population belong.","category","Category","String","Attributes",
"coverLength","CoverLength","The length measured along the x-axis in the local coordinate system or the radius (in the case of a circular shape in plan) of the cover of the object.","cover length","CoverLength","Real","Pset_InterceptorTypeCommon",
"coverWidth","CoverWidth","The length measured along the y-axis in the local coordinate system of the cover of the object.","cover width","CoverWidth","Real","Pset_InterceptorTypeCommon",
"inletConnectionSize","InletConnectionSize","Size of the inlet connection.
Note that all inlet connections are assumed to be the same size.","inlet connection size","InletConnectionSize","Real","Pset_InterceptorTypeCommon",
"nominalBodyDepth","NominalBodyDepth","Nominal or quoted length measured along the z-axis of the local coordinate system of the object.","nominal body depth","NominalBodyDepth","Real","Pset_InterceptorTypeCommon",
"nominalBodyLength","NominalBodyLength","Nominal or quoted length measured along the x-axis of the local coordinate system of the object.","nominal body length","NominalBodyLength","Real","Pset_InterceptorTypeCommon",
"nominalBodyWidth","NominalBodyWidth","Nominal or quoted length, measured along the y-axis of the local coordinate system of the object.","nominal body width","NominalBodyWidth","Real","Pset_InterceptorTypeCommon",
"outletConnectionSize","OutletConnectionSize","Size of the outlet connection from the object.","outlet connection size","OutletConnectionSize","Real","Pset_InterceptorTypeCommon",
"ventilatingPipeSize","VentilatingPipeSize","Size of the ventilating pipe(s).","ventilating pipe size","VentilatingPipeSize","Real","Pset_InterceptorTypeCommon",
"grossPlannedArea","GrossPlannedArea","Total planned gross area of the spatial structure element. Used for programming the spatial structure element.","gross planned area","GrossPlannedArea","Real","Pset_SpaceCommon",
"handicapAccessible","HandicapAccessible","Indication that this object is designed to be accessible by the handicapped. Set to (TRUE) if this object is rated as handicap accessible according the local building codes, otherwise (FALSE).
It is giving according to the requirements of the national building code.","handicap accessible","HandicapAccessible","Boolean","Pset_SpaceCommon",
"netPlannedArea","NetPlannedArea","Total planned net area of the object. Used for programming the object.","net planned area","NetPlannedArea","Real","Pset_SpaceCommon",
"publiclyAccessible","PubliclyAccessible","Indication whether this space (in case of e.g., a toilet) is designed to serve as a publicly accessible space, e.g., for a public toilet (TRUE) or not (FALSE).","publicly accessible","PubliclyAccessible","Boolean","Pset_SpaceCommon",
"ceilingCovering","CeilingCovering","Label to indicate the material or finish of the space flooring. The label is used for room book information and often displayed in room stamp.The material information is provided in absence of an IfcCovering (type=CEILING) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.","ceiling covering","CeilingCovering","String","Pset_SpaceCoveringRequirements",
"ceilingCoveringThickness","CeilingCoveringThickness","Thickness of the material layer(s) for the space ceiling.The thickness information is provided in absence of an IfcCovering (type=CEILING) object with own shape representation. In cases of inconsistency between the geometric parameters of an assigned IfcCovering and this attached property, the geometric parameters take precedence.","ceiling covering thickness","CeilingCoveringThickness","Real","Pset_SpaceCoveringRequirements",
"concealedCeiling","ConcealedCeiling","Indication whether this space is designed to have a concealed flooring space (TRUE) or not (FALSE). A concealed ceiling space is normally meant to be the space between a slab and a ceiling.","concealed ceiling","ConcealedCeiling","Boolean","Pset_SpaceCoveringRequirements",
"concealedCeilingOffset","ConcealedCeilingOffset","Distance between the upper floor slab and the suspended ceiling, often used for distribution systems. Often referred to as plenum.","concealed ceiling offset","ConcealedCeilingOffset","Real","Pset_SpaceCoveringRequirements",
"concealedFlooringOffset","ConcealedFlooringOffset","Distance between the floor slab and the floor covering, often used for cables and other installations. Often referred to as raised flooring.","concealed flooring offset","ConcealedFlooringOffset","Real","Pset_SpaceCoveringRequirements",
"floorCovering","FloorCovering","Label to indicate the material or finish of the space flooring. The label is used for room book information and often displayed in room stamp.The material information is provided in absence of an IfcCovering (type=FLOORING) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.","floor covering","FloorCovering","String","Pset_SpaceCoveringRequirements",
"floorCoveringThickness","FloorCoveringThickness","Thickness of the material layer(s) for the space flooring.The thickness information is provided in absence of an IfcCovering (type=FLOORING) object with own shape representation. In cases of inconsistency between the geometric parameters of an assigned IfcCovering and this attached property, the geometric parameters take precedence.","floor covering thickness","FloorCoveringThickness","Real","Pset_SpaceCoveringRequirements",
"molding","Molding","Label to indicate the material or construction of the molding around the space ceiling. The label is used for room book information.The material information is provided in absence of an IfcCovering (type=MOLDING) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.","molding","Molding","String","Pset_SpaceCoveringRequirements",
"moldingHeight","MoldingHeight","Height of the molding.The height information is provided in absence of an IfcCovering (type=MOLDING) object with own shape representation and material assignment. In case of inconsistency the height assigned to IfcCovering elements takes precedence.","molding height","MoldingHeight","Real","Pset_SpaceCoveringRequirements",
"skirtingBoard","SkirtingBoard","Label to indicate the material or construction of the skirting board around the space flooring. The label is used for room book information.The material information is provided in absence of an IfcCovering (type=SKIRTINGBOARD) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.","skirting board","SkirtingBoard","String","Pset_SpaceCoveringRequirements",
"skirtingBoardHeight","SkirtingBoardHeight","Height of the skirting board.The height information is provided in absence of an IfcCovering (type=SKIRTINGBOARD) object with own shape representation and material assignment. In case of inconsistency the height assigned to IfcCovering elements takes precedence.","skirting board height","SkirtingBoardHeight","Real","Pset_SpaceCoveringRequirements",
"wallCovering","WallCovering","Label to indicate the material or finish of the space flooring. The label is used for room book information and often displayed in room stamp.The material information is provided in absence of an IfcCovering (type=CLADDING) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.","wall covering","WallCovering","String","Pset_SpaceCoveringRequirements",
"wallCoveringThickness","WallCoveringThickness","Thickness of the material layer(s) for the space cladding.The thickness information is provided in absence of an IfcCovering (type=CLADDING) object with own shape representation. In cases of inconsistency between the geometric parameters of an assigned IfcCovering and this attached property, the geometric parameters take precedence.","wall covering thickness","WallCoveringThickness","Real","Pset_SpaceCoveringRequirements",
"airPressurization","AirPressurization","Indication whether the space is required to have pressurized air (TRUE) or not (FALSE).","air pressurization","AirPressurization","Boolean","Pset_SpaceFireSafetyRequirements",
"fireExit","FireExit","Indication whether this object is designed to serve as an exit in the case of fire (TRUE) or not (FALSE).","fire exit","FireExit","Boolean","Pset_SpaceFireSafetyRequirements",
"fireRiskFactor","FireRiskFactor","Fire Risk factor assigned to the space according to local building regulations. It defines the fire risk of the space at several levels of fire hazard.","fire risk factor","FireRiskFactor","String","Pset_SpaceFireSafetyRequirements",
"concealedFlooring","ConcealedFlooring","Indication whether this space is designed to have a concealed flooring space (TRUE) or not (FALSE). A concealed flooring space is normally meant to be the space beneath a raised floor.","concealed flooring","ConcealedFlooring","Boolean","Pset_SpaceCoveringRequirements",
"flammableStorage","FlammableStorage","Indication whether the space is intended to serve as a storage of flammable material (which is regarded as such by the presiding building code. (TRUE) indicates yes, (FALSE) otherwise.","flammable storage","FlammableStorage","Boolean","Pset_SpaceFireSafetyRequirements",
"sprinklerProtection","SprinklerProtection","Indication whether this object is sprinkler protected (TRUE) or not (FALSE).","sprinkler protection","SprinklerProtection","Boolean","Pset_SpaceFireSafetyRequirements",
"sprinklerProtectionAutomatic","SprinklerProtectionAutomatic","Indication whether this object has an automatic sprinkler protection (TRUE) or not (FALSE).
It should only be given, if the property ""SprinklerProtection"" is set to TRUE.","sprinkler protection automatic","SprinklerProtectionAutomatic","Boolean","Pset_SpaceFireSafetyRequirements",
"airConditioning","AirConditioning","Indication whether this space requires air conditioning provided (TRUE) or not (FALSE).","air conditioning","AirConditioning","Boolean","Pset_SpaceHVACDesign",
"airConditioningCentral","AirConditioningCentral","Indication whether the space  requires a central air conditioning provided (TRUE) or not (FALSE).
It should only be given, if the property ""AirConditioning"" is set to TRUE.","air conditioning central","AirConditioningCentral","Boolean","Pset_SpaceHVACDesign",
"airHandlingName","AirHandlingName","The name of the air side system.IfcRelServicesBuildings should be used to reference the correct AirHandlingSystem (IfcSystem)","air handling name","AirHandlingName","String","Pset_SpaceHVACDesign",
"discontinuedHeating","DiscontinuedHeating","Indication whether discontinued heating is required/desirable from user/designer view point. (TRUE) if yes, (FALSE) otherwise.","discontinued heating","DiscontinuedHeating","Boolean","Pset_SpaceHVACDesign",
"humidityMax","HumidityMax","Maximal permitted humidity of the space or zone that is required from user/designer view point.  If no summer or winter space humidity requirements are given, it applies all year, otherwise for the intermediate period.","humidity max","HumidityMax","Real","Pset_SpaceHVACDesign",
"humidityMin","HumidityMin","Minimal permitted humidity of the space or zone that is required from user/designer view point.  If no summer or winter space humidity requirements are given, it applies all year, otherwise for the intermediate period.","humidity min","HumidityMin","Real","Pset_SpaceHVACDesign",
"humiditySetPoint","HumiditySetPoint","Humidity of the space or zone that is required from user/designer view point.  If no summer or winter space humidity requirements are given, it applies all year, otherwise for the intermediate period. Provide this property, if no humidity range (Min-Max) is available.","humidity set point","HumiditySetPoint","Real","Pset_SpaceHVACDesign",
"humiditySummer","HumiditySummer","Humidity of the space or zone for the hot (summer) period, that is required from user/designer view point and provided as requirement for cooling.","humidity summer","HumiditySummer","Real","Pset_SpaceHVACDesign",
"humidityWinter","HumidityWinter","Humidity of the space or zone for the cold (winter) period that is required from user/designer view point and provided as requirement for heating.","humidity winter","HumidityWinter","Real","Pset_SpaceHVACDesign",
"mechanicalVentilation","MechanicalVentilation","Indication whether the space is required to have mechanical ventilation (TRUE).","mechanical ventilation","MechanicalVentilation","Boolean","Pset_SpaceHVACDesign",
"mechanicalVentilationRate","MechanicalVentilationRate","Indication of the requirement of a particular mechanical air ventilation rate, given in air changes per hour.","mechanical ventilation rate","MechanicalVentilationRate","Integer","Pset_SpaceHVACDesign",
"naturalVentilation","NaturalVentilation","Indication whether the space is required to have natural ventilation (TRUE)","natural ventilation","NaturalVentilation","Boolean","Pset_SpaceHVACDesign",
"naturalVentilationRate","NaturalVentilationRate","Indication of the requirement of a particular natural air ventilation rate, given in air changes per hour.","natural ventilation rate","NaturalVentilationRate","Integer","Pset_SpaceHVACDesign",
"temperatureMax","TemperatureMax","Maximal temperature of the space or zone, that is required from user/designer view point.  If no summer or winter space temperature requirements are given, it applies all year, otherwise for the intermediate period.","temperature max","TemperatureMax","Real","Pset_SpaceHVACDesign",
"temperatureMin","TemperatureMin","Minimal temperature of the space or zone, that is required from user/designer view point. If no summer or winter space temperature requirements are given, it applies all year, otherwise for the intermediate period.","temperature min","TemperatureMin","Real","Pset_SpaceHVACDesign",
"temperatureSetPoint","TemperatureSetPoint","The temperature setpoint range and default setpoint.","temperature set point","TemperatureSetPoint","Real","Pset_SpaceHVACDesign",
"temperatureSummerMax","TemperatureSummerMax","Maximal temperature of the space or zone for the hot (summer) period, that is required from user/designer view point and provided as requirement for cooling.","temperature summer max","TemperatureSummerMax","Real","Pset_SpaceHVACDesign",
"temperatureSummerMin","TemperatureSummerMin","Minimal temperature of the space or zone for the hot (summer) period, that is required from user/designer view point and provided as requirement for cooling.","temperature summer min","TemperatureSummerMin","Real","Pset_SpaceHVACDesign",
"temperatureWinterMax","TemperatureWinterMax","Maximal temperature of the space or zone for the cold (winter) period, that is required from user/designer view point and provided as requirement for heating.","temperature winter max","TemperatureWinterMax","Real","Pset_SpaceHVACDesign",
"temperatureWinterMin","TemperatureWinterMin","Minimal temperature of the space or zone for the cold (winter) period, that is required from user/designer view point and provided as requirement for heating.","temperature winter min","TemperatureWinterMin","Real","Pset_SpaceHVACDesign",
"artificialLighting","ArtificialLighting","Indication whether this space  requires artificial lighting (as natural lighting would be not sufficient). (TRUE) indicates yes (FALSE) otherwise.","artificial lighting","ArtificialLighting","Boolean","Pset_SpaceLightingDesign",
"illuminance","Illuminance","Required average illuminance value for this space.","illuminance","Illuminance","Real","Pset_SpaceLightingDesign",
"areaPerOccupant","AreaPerOccupant","Design occupancy loading for this type of usage assigned to this space.","area per occupant","AreaPerOccupant","Real","Pset_SpaceOccupancyRequirements",
"isOutlookDesirable","IsOutlookDesirable","An indication of whether the outlook is desirable (set TRUE) or not (set FALSE)","is outlook desirable","IsOutlookDesirable","Boolean","Pset_SpaceOccupancyRequirements",
"minimumHeadroom","MinimumHeadroom","Headroom required for the activity assigned to this space.","minimum headroom","MinimumHeadroom","Real","Pset_SpaceOccupancyRequirements",
"occupancyNumber","OccupancyNumber","Number of people required for the activity assigned to this space.","occupancy number","OccupancyNumber","Integer","Pset_SpaceOccupancyRequirements",
"occupancyNumberPeak","OccupancyNumberPeak","Maximal number of people required for the activity assigned to this space in peak time.","occupancy number peak","OccupancyNumberPeak","Integer","Pset_SpaceOccupancyRequirements",
"occupancyTimePerDay","OccupancyTimePerDay","The amount of time during the day that the activity is required within this space.","occupancy time per day","OccupancyTimePerDay","Real","Pset_SpaceOccupancyRequirements",
"occupancyType","OccupancyType","Occupancy type for this object.
It is defined according to the presiding national building code.","occupancy type","OccupancyType","String","Pset_SpaceOccupancyRequirements",
"signalViewingMinimumInFront","SignalViewingMinimumInFront","Smallest distance where the signal has to be readable (for train very close to the signal).","signal viewing minimum in front","SignalViewingMinimumInFront","Real","Pset_RailwaySignalSighting",
"tactileMarking","TactileMarking","The kind of Tactile Marking of the element.","tactile marking","TactileMarking","Boolean","Pset_SignCommon",
"approachSpeed","ApproachSpeed","The design speed of trains approaching the signal if different from the line speed.","approach speed","ApproachSpeed","Real","Pset_RailwaySignalOccurrence",
"distanceToStopMark","DistanceToStopMark","Distance from the signal to the nearest stop mark at a platform.","distance to stop mark","DistanceToStopMark","Real","Pset_RailwaySignalOccurrence",
"handSignallingProhibited","HandSignallingProhibited","Indicates if hand signalling is prohibited in case of any failure.","hand signalling prohibited","HandSignallingProhibited","Boolean","Pset_RailwaySignalOccurrence",
"signalAspectType","SignalAspectType","The type of aspect, e.g. 2-display aspect for distant signal, 3-display aspect for block signal.","signal aspect type","SignalAspectType","String","Pset_RailwaySignalAspect",
"signLegend","SignLegend","Text information written on the signal or sign.","sign legend","SignLegend","String","Pset_RailwaySignalAspect",
"signalSightingAchievableDistance","SignalSightingAchievableDistance","Reading distance of the signal, which is achievable with the help of mitigation works.","signal sighting achievable distance","SignalSightingAchievableDistance","Real","Pset_RailwaySignalSighting",
"signalSightingAvailableDistance","SignalSightingAvailableDistance","Reading distance of the signal without having any mitigation works.","signal sighting available distance","SignalSightingAvailableDistance","Real","Pset_RailwaySignalSighting",
"signalSightingCombinedWithRepeater","SignalSightingCombinedWithRepeater","Combined reading distance for the signal and any associated repeaters.","signal sighting combined with repeater","SignalSightingCombinedWithRepeater","Real","Pset_RailwaySignalSighting",
"signalSightingMinimum","SignalSightingMinimum","Minimal distance in which the signal has to be readable.","signal sighting minimum","SignalSightingMinimum","Real","Pset_RailwaySignalSighting",
"signalSightingPreferred","SignalSightingPreferred","Preferred distance in which the signal shall be readable.","signal sighting preferred","SignalSightingPreferred","Real","Pset_RailwaySignalSighting",
"signalSightingRouteIndicator","SignalSightingRouteIndicator","Required reading distance for the route indicator.","signal sighting route indicator","SignalSightingRouteIndicator","Real","Pset_RailwaySignalSighting",
"hinderingObstaclesDescription","HinderingObstaclesDescription","Description of obstacles that hinder the visibility for the staff in the station.","hindering obstacles description","HinderingObstaclesDescription","String","Pset_RailwaySignalOccurrence",
"limitedClearances","LimitedClearances","Special conditions for placing the signal post telephone: tunnels, bridges, viaducts.","limited clearances","LimitedClearances","String","Pset_RailwaySignalOccurrence",
"numberOfLampsNotUsed","NumberOfLampsNotUsed","Number of lamps which are not needed and blanked out (sealed).","number of lamps not used","NumberOfLampsNotUsed","Integer","Pset_RailwaySignalOccurrence",
"requiresBannerSignal","RequiresBannerSignal","Indicates whether a banner repeater signal is required.","requires banner signal","RequiresBannerSignal","Boolean","Pset_RailwaySignalOccurrence",
"requiresOlemesh","RequiresOLEMesh","Indicates whether an OLE mesh is required to protect the signal or maintainer.","requires olemesh","RequiresOLEMesh","Boolean","Pset_RailwaySignalOccurrence",
"requiresSafetyHandrail","RequiresSafetyHandrail","Indicates whether a safety handrail is required.","requires safety handrail","RequiresSafetyHandrail","Boolean","Pset_RailwaySignalOccurrence",
"signalPostTelephoneId","SignalPostTelephoneID","The identifier of the signal post telephone attached to the signal.","signal post telephone id","SignalPostTelephoneID","String","Pset_RailwaySignalOccurrence",
"signalPostTelephoneType","SignalPostTelephoneType","Indicates the type of the signal post telephone, e.g. locked, direct line, dial phone.","signal post telephone type","SignalPostTelephoneType","String","Pset_RailwaySignalOccurrence",
"signalWalkwayLength","SignalWalkwayLength","Indicates the length of the walkway from signal to signal post telephone.","signal walkway length","SignalWalkwayLength","Real","Pset_RailwaySignalOccurrence",
"specialPositionArrangement","SpecialPositionArrangement","Type of special position at which the signal is placed.","special position arrangement","SpecialPositionArrangement","String","Pset_RailwaySignalOccurrence",
"hasConductorRailGuardBoard","HasConductorRailGuardBoard","Indicates if a guard board is provided.","has conductor rail guard board","HasConductorRailGuardBoard","Boolean","Pset_RailwaySignalType",
"hotStripOrientation","HotStripOrientation","Position of the hot strip, which indicates the direction of the focus of the light beam and is given in terms like ""left upper quadrant (LUQ)"" or ""5 o'clock"".","hot strip orientation","HotStripOrientation","String","Pset_RailwaySignalType",
"isHighType","IsHighType","Indicates if the signal is high (TRUE) or dwarf (ground mounted) (FALSE).","is high type","IsHighType","Boolean","Pset_RailwaySignalType",
"lensDiffuserOrientation","LensDiffuserOrientation","Orientation the lens diffuser has to have, which indicates the direction of the lens diffuser and is given in terms like ""left upper quadrant (LUQ)"" or ""5 o'clock"".","lens diffuser orientation","LensDiffuserOrientation","String","Pset_RailwaySignalType",
"lensDiffuserType","LensDiffuserType","Type of the lens diffuser the signal is equipped with.","lens diffuser type","LensDiffuserType","String","Pset_RailwaySignalType",
"maximumDisplayDistance","MaximumDisplayDistance","The maximum distance that can be displayed. The value relates only to the signal type, not to the circumstances at a special position.","maximum display distance","MaximumDisplayDistance","Real","Pset_RailwaySignalType",
"numberOfLamps","NumberOfLamps","Number of lamps the signal is composed of.","number of lamps","NumberOfLamps","Integer","Pset_RailwaySignalType",
"railwaySignalType","RailwaySignalType","The type of railway signal, e.g. home signal, starting signal, shunting signal, level crossing signal.","railway signal type","RailwaySignalType","String","Pset_RailwaySignalType",
"requiredDisplayDistance","RequiredDisplayDistance","The required distance that has to be displayed. The value relates only to the signal type, not to the circumstances at a special position.","required display distance","RequiredDisplayDistance","Real","Pset_RailwaySignalType",
"signalHoodLength","SignalHoodLength","Nominal length of the signal hood, which is the signal lamp cover against glaring sun.","signal hood length","SignalHoodLength","Real","Pset_RailwaySignalType",
"signalIndicatorType","SignalIndicatorType","Type of the indicators on a signal, e.g. route indicator, speed restriction indicator etc.","signal indicator type","SignalIndicatorType","String","Pset_RailwaySignalType",
"signalMessage","SignalMessage","All possible message available at this signal, e.g. ""3/4- display automatic blocking"".","signal message","SignalMessage","String","Pset_RailwaySignalType",
"backboardType","BackboardType","The type of the backboard of the signal frame.","backboard type","BackboardType","String","Pset_SignalFrame",
"signalFrameBackboardDiameter","SignalFrameBackboardDiameter","The nominal diameter of the signal frame backboard.","signal frame backboard diameter","SignalFrameBackboardDiameter","Real","Pset_SignalFrame",
"signalFrameBackboardHeight","SignalFrameBackboardHeight","The nominal height of the signal frame backboard.","signal frame backboard height","SignalFrameBackboardHeight","Real","Pset_SignalFrame",
"signalFrameType","SignalFrameType","Type of frame, e.g. main frame, route indicator, speed indicator, direction indicator, etc.","signal frame type","SignalFrameType","String","Pset_SignalFrame",
"requestComments","RequestComments","Comments that may be made on the request.","request comments","RequestComments","String","Pset_ActionRequest",
"requestSourceLabel","RequestSourceLabel","A specific name or label that further qualifies the identity of a request source. In the event of an email, this may be the email address.","request source label","RequestSourceLabel","String","Pset_ActionRequest",
"endDate","EndDate","Date and time at which the permit ceases to be valid.","end date","EndDate","String","Pset_Permit",
"escortRequirement","EscortRequirement","Indicates whether or not an escort is required to accompany persons carrying out a work order at or to/from the place of work (= TRUE) or not (= FALSE).NOTE - There are many instances where escorting is required, particularly in a facility that has a high security rating. Escorting may require that persons are escorted to and from the place of work. Alternatively, it may involve the escort remaining at the place of work at all times.","escort requirement","EscortRequirement","Boolean","Pset_Permit",
"specialRequirements","SpecialRequirements","Any additional special requirements that need to be included in the permit to work.NOTE - Additional permit requirements may be imposed according to the nature of the facility at which the work is carried out. For instance, in clean areas, special clothing may be required whilst in corrective institutions, it may be necessary to check in and check out tools that will be used for work as a safety precaution.","special requirements","SpecialRequirements","String","Pset_Permit",
"startDate","StartDate","Date and time from which the permit becomes valid.","start date","StartDate","String","Pset_Permit",
"globalOrLocal","GlobalOrLocal","Indicates whether the load directions refer to the global coordinate system (global to
the analysis model, i.e. as established by IfcStructuralAnalysisModel.SharedPlacement)
or to the local coordinate system (local to the activity or connected item, as established by
an explicit or implied representation and its parameter space).NOTE , the informal definition of IfcRepresentationResource.IfcGlobalOrLocalEnum doe s not distinguish between ""global coordinate system"" and ""world coordinate system"". On the other hand, this distinction is necessary in the IfcStructuralAnalysisDomain where the shared ""global"" coordinate system of an analysis model may very well not be the same as the project-wide world coordinate system.
NOTE  In the scope of IfcStructuralActivity.GlobalOrLocal, the meaning of GLOBAL_COORDS is therefore not to be taken as world coordinate system but as the analysis model specific shared coordinate system. In contrast, LOCAL_COORDS is to be taken as coordinates which are local to individual structural items and activities, as established by subclass-specific geometry use definitions.","global or local","GlobalOrLocal","String","Attributes",
"destabilizingLoad","DestabilizingLoad","Indicates if this action may cause a stability problem. If it is 'FALSE', no further investigations regarding stability problems are necessary.","destabilizing load","DestabilizingLoad","Boolean","Attributes",
"projectedOrTrue","ProjectedOrTrue","Defines whether load values are given per true length of the curve on which they act, or per length of the projection of the curve in load direction.  The latter is only applicable to loads which act in global coordinate directions.","projected or true","ProjectedOrTrue","String","Attributes",
"thickness1","Thickness1","First thickness parameter of a surface member with varying thickness","thickness 1","Thickness1","Real","Pset_StructuralSurfaceMemberVaryingThickness",
"thickness2","Thickness2","Second thickness parameter of a surface member with varying thickness","thickness 2","Thickness2","Real","Pset_StructuralSurfaceMemberVaryingThickness",
"thickness3","Thickness3","Third thickness parameter of a surface member with varying thickness","thickness 3","Thickness3","Real","Pset_StructuralSurfaceMemberVaryingThickness",
"xdirectionLowerBarCount","XDirectionLowerBarCount","The number of bars with X direction lower bar.","xdirection lower bar count","XDirectionLowerBarCount","Integer","Pset_ReinforcementBarCountOfIndependentFooting",
"xdirectionUpperBarCount","XDirectionUpperBarCount","The number of bars with X direction upper bar.","xdirection upper bar count","XDirectionUpperBarCount","Integer","Pset_ReinforcementBarCountOfIndependentFooting",
"ydirectionLowerBarCount","YDirectionLowerBarCount","The number of bars with Y direction lower bar.","ydirection lower bar count","YDirectionLowerBarCount","Integer","Pset_ReinforcementBarCountOfIndependentFooting",
"steelGrade","SteelGrade","Deprecated.","steel grade","SteelGrade","String","Attributes",
"barLength","BarLength","The total length of the reinforcing bar. The total length of bended bars are calculated according to local standards with corrections for the bends.","bar length","BarLength","Real","Attributes",
"barSurface","BarSurface","Indicator for whether the bar surface is plain or textured.","bar surface","BarSurface","String","Attributes",
